,Project,Tag,Type,Timeline,Service Year (SY),Construction Year (CY),Final Permitting Year (FPY),Initial Permitting Year (IPY),Proposal Year (PY),Overall_Time (years) [PY - SY],Initial Development Year (IDY),Overall_Time (years) [IDY - SY],Length (km),Length (mile),Converter Station 1,Converter Station 2,Region,Country,Continent,Cost_Raw (million USD),Cost (USD per mile),PPI_Adjustment (2022 USD),Cost_Adjusted (million USD 2022),Power_Rating (MW),Voltage_Rating (kV),Project_Location,Cost per mile (million USD 2022),Cost per mile - GW (million USD 2022),Cost per km (million USD 2022),Cost per km - GW (million USD 2022),Project_Website
20,Lake Erie Connector Project,Lake Erie Connector,HVDC,Suspended,2022,,2021,2014,2014,8,2013,9,117,73,"Ontario, Canada","Pennsylvania, US",PJM,USA/Canada,North America,1000,13.70,1.00,1000,1000,320,UW/UG,13.70,13.70,8.51,8.51,https://www.itclakeerieconnector.com/ 
21,North Path Line,North Path Line,HVDC,Planned,2028,2025,2025,2023,2020,8,2020,8,644,400,"Union County, NM","San Juan County, NM",Southwest,USA,North America,2500,6.25,1.00,2500,4000,500,OH,6.25,1.56,3.88,0.97,https://newmexiconorthpath.com/
22,Sunzia Wind and Tranmission,Sunzia Wind ,HVDC,Planned,2026,2023,2023,2020,2008,18,2008,18,885,550,"Torrance, New Mexico)","Pinal, Arizona",Southwest,USA,North America,2500,4.55,1.00,2500,3000,525,OH,4.55,1.52,2.82,0.94,https://patternenergy.com/projects/sunzia/
23,Three Corners Connector,Three Corners Connector,HVDC,Planned,2028,,2025,,2020,8,2020,8,483,300,"Pueblo, CO","Panhandle, OK",Southwest - SPP,USA,North America,1500,5.00,1.00,1500,,525,OH,5.00,,3.11,,https://threecornersconnector.com/ 
24,Continental Connector,Continental Connector,HVDC,Planned,2030,,2025,,2020,10,2020,10,805,500,"Santa Fe, NM","Ford County, Kansas",Southwest - SPP,USA,North America,2000,4.00,1.00,2000,3000,525,OH,4.00,1.33,2.49,0.83,https://continentalconnectorllc.com/
25,Grain Belt Express ,Grain Belt Express ,HVDC,Planned,2027,2024,2024,2013,2010,17,2010,17,1287,800,"Ford County, Kansas","Monroe County, Missouri",SPP - MISO,USA,North America,7000,8.75,1.00,7000,4000,600,OH,8.75,2.19,5.44,1.36,https://grainbeltexpress.com/
26,Plains and Eastern Clean Line,PECL,HVDC,Suspended,2018,,2018,2013,2010,8,2010,8,1159,720,Oklahoma,Tennessee,SPP - Southeast,USA,North America,2200,3.06,1.31,2887,3500,600,OH,4.01,1.15,2.49,0.71,https://www.cleanlineenergy.com/ 
,** Projects not included in analysis - used for illustrative purposes**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Square Butte,Square Butte,HVDC,Operation,1977,,,,,,,,,920,Quebec,Boston ,ISO NE,USA/Canada,North America,>500,,,,500,230,OH,,,,,https://www.hitachienergy.com/about-us/customer-success-stories/square-butte
28,CU,CU,HVDC,Operation,1978,,,,,,,,,436,"Underwood, North Dakota","Buffalo, Minnesota",MISO,USA,North America,,,,,1000,400,OH,,,,,https://www.hitachienergy.com/about-us/customer-success-stories/cu-hvdc-project
29,Pacific Intertie,Pacific Intertie,HVDC,Operation,1970,,,,,,,,,465,Minnesota,North Dakota,MISO - Northwest,USA,North America,,,,,3800,500,OH,,,,,https://www.hitachienergy.com/us/en/about-us/customer-success-stories/pacific-intertie
30,Intermountain Power Project,Intermountain Power,HVDC,Operation,1981,,,,,,,,,835,PNW,Los Angeles,Northwest - CAISO,USA,North America,>500,,,4500,2400,500,OH,,,,,https://www.hitachienergy.com/us/en/news/press-releases/2023/03/hitachi-energy-to-support-the-transmission-of-increasing-volumes-of-sustainable-electricity-to-california
31,Quebec-New England,Quebec-New England,HVDC,Operation,1990,,,,,,,,,488,Utah,Los Angeles,Northwest - CAISO,USA,North America,4500,9.22,,,2000,450,OH,,,,,https://www.hitachienergy.com/us/en/about-us/customer-success-stories/quebec-new-england
